"上げる","あげる","表示动作的彻底完成，强调最终成果的产出。","動詞のマス形＋上げる","やっとレポートをかきあげた。","やっとレポートを書き上げた。","终于写完了报告。","ひとばんでセーターをあみあげた。","一晩でセーターを編み上げた。","用一个晚上织好了毛衣。"
"にとって","にとって","用于表明评价或判断的主体，意为“从...的立场来看”。","名詞＋にとって","このけいけんは、わたしにとってひじょうにじゅうようだ。","この経験は、私にとって非常に重要だ。","这个经验对我来说非常重要。","あなたにとって、いちばんたいせつなものはなんですか。","あなたにとって、一番大切なものは何ですか。","对你来说，最重要的东西是什么？"
"について","について","用于指示谈话、思考等内容的具体对象，意为“关于...”。","名詞＋について","にほんのぶんかについてけんきゅうしている。","日本の文化について研究している。","我正在研究关于日本文化的事情。","このけいかくについて、いくつか質問があります。","この計画について、いくつか質問があります。","关于这个计划，我有几个问题。"
"につれて","につれて","与「～にしたがって」几乎相同，表示A变化的同时，B也单方向地随之变化，多用于自然或缓慢的变化。","名詞/動詞の辞書形＋につれて","としをとるにつれて、たいりょくがなくなってきた。","年をとるにつれて、体力がなくなってきた。","随着年龄增长，体力也跟不上了。","まちがはってんするにつれて、しぜんがすくなくなってきた。","町が発展するにつれて、自然が少なくなってきた。","随着城镇的发展，自然环境变少了。"
"には","には","用于陈述为达成某一目的所需要的手段或条件，意为“为了...”。","動詞の辞書形＋には","このドアをあけるには、とくべつなかぎがひつようだ。","このドアを開けるには、特別な鍵が必要だ。","为了打开这扇门，需要特殊的钥匙。","かんじをおぼえるには、まいにちかくのがいちばんだ。","漢字を覚えるには、毎日書くのが一番だ。","要记汉字，每天写是最好的方法。"
"のでしょうか","のでしょうか","是「～のですか」的更礼貌、委婉的提问方式。","普通形＋のでしょうか","このもんだいはどうすればかいけつできるのでしょうか。","この問題はどうすれば解決できるのでしょうか。","这个问题要怎么才能解决呢？","やまださんは、もうおいでになるのでしょうか。","山田さんは、もうおいでになるのでしょうか。","山田先生差不多该到了吧？"
"を中心に","をちゅうしんに","表示“以...为最重要的人/事/物”或“以...为活动的中心”。","名詞＋を中心に","えきをちゅうしんにまちがはってんしている。","駅を中心に町が発展している。","城镇以车站为中心发展起来。","このかいは、わかいひとをちゅうしんにかつどうしている。","この会は、若い人を中心に活動している。","这个会以年轻人为中心进行活动。"
"をはじめ","をはじめて","用于从众多例子中举出最典型的一个，意为“以...为首，以及其他”。","名詞＋をはじめ（として）","こうちょうせんせいをはじめ、おおくのせんせいがたがしゅっせきされた。","校長先生をはじめ、多くの先生方が出席された。","以校长为首的很多老师都出席了。","きょうとには、きんかくじをはじめ、ゆうめいなおてらがたくさんある。","京都には、金閣寺をはじめ、有名なお寺がたくさんある。","京都有以金阁寺为首的很多著名寺庙。"
"を込めて","をこめて","表示将爱情、感谢、祈祷等感情深深地包含在某个物品或行为中。","名詞＋を込めて","かんしゃのきもちをこめて、プレゼントをおくります。","感謝の気持ちを込めて、プレゼントを贈ります。","满怀感谢之情送上礼物。","こころをこめててがみをかいた。","心を込めて手紙を書いた。","用心写了信。"
"おかげで","おかげで","用于表达对带来好结果的原因的感谢之情，意为“多亏了...”。有时也用于反语。","名詞＋の/動詞のタ形＋おかげで","せんせいのおかげでごうかくできました。","先生のおかげで合格できました。","多亏了老师，我才合格了。","あなたがてつだってくれたおかげで、はやくおわりました。","あなたが手伝ってくれたおかげで、早く終わりました。","多亏了你的帮忙，事情很快就结束了。"
"っぱなし","っぱなし","表示“做了某事后就一直放着不管”，多含有对该行为的责备或困扰的语气。","動詞のマス形＋っぱなし","まどをあけっぱなしでねてしまった。","窓を開けっ放しで寝てしまった。","开着窗户就睡着了。","かれはいつもみずをだしっぱなしにする。","彼はいつも水を出しっぱなしにする。","他总是水龙头开着不关。"
"っぽい","っぽい","表示“看起来像...、有...的感觉”，指能强烈地感受到某种性质，常用于负面评价。","名詞/動詞のマス形/い形容詞の語幹＋っぽい","あのくろっぽいふくをきているひとがたなかさんです。","あの黒っぽい服を着ている人が田中さんです。","那个穿着偏黑衣服的人是田中。","かれはわすれっぽいので、よくものをなくす。","彼は忘れっぽいので、よく物をなくす。","他很健忘，所以经常丢东西。"
"さえ","さえ","通过列举一个极端的例子来类推其他，意为“连...都...”。","名詞（助詞）＋さえ","こどもでさえしっていることだ。","子供でさえ知っていることだ。","这是连小孩子都知道的事情。","ひらがなさえかけない。","ひらがなさえ書けない。","连平假名都不会写。"
"さえ～ば","さえ～ば","用于指出必要且充分的唯一条件，意为“只要...就行”。","名詞（助詞）＋さえ＋動詞の仮定形 / 動詞のマス形＋さえすれば","あなたさえいれば、なにもいらない。","あなたさえいれば、何もいらない。","只要有你，我什么都不要。","このくすりをのみさえすれば、すぐにげんきになりますよ。","この薬を飲みさえすれば、すぐに元気になりますよ。","只要喝了这个药，马上就会好起来的。"
"際に","さいに","是「～の時」的书面化表达，常用于正式场合或文章中。","名詞＋の/動詞の辞書形・タ形＋際に","おもうしこみのさいに、じゅうしょをごきにゅうください。","お申し込みの際に、ご記入ください。","申请时，请填写地址。","せんじつおじゃましたさいは、ありがとうございました。","先日はお邪魔した際は、ありがとうございました。","前几天打扰您的时候，真是非常感谢。"
"最中に","さいちゅうに","表示“正在...的关键时刻”，指在某个动作进行到高潮时，发生了意料之外的事。","名詞＋の/動詞のている形＋最中に","しょくじのさいちゅうに、でんわがなった。","食事の最中に、電話が鳴った。","正在吃饭的时候，电话响了。","シャワーをあびているさいちゅうに、じしんがあった。","シャワーを浴びている最中に、地震があった。","正在洗澡的时候，地震了。"
"さらに","さらに","表示程度的加深或事物的追加，意为“而且、更加”。","接続詞として文頭で使う、または副詞として使う","かれはえいごがはなせる。さらに、ちゅうごくごもできる。","彼は英語が話せる。さらに、中国語もできる。","他会说英语。而且，中文也会。","ふゆになると、さらにさむくなるだろう。","冬になると、さらに寒くなるだろう。","到了冬天，会变得更冷吧。"
"さて","さて","用于结束前一个话题，引出新的话题，意为“那么...”。","接続詞として文頭で使う","いじょうでせつめいは終わりです。さて、しつぎおうとうにはいります。","以上で説明は終わりです。さて、質疑応答に入ります。","说明到此结束。那么，接下来进入问答环节。","さて、こんやのばんごはんはなににしようかな。","さて、今夜の晩ご飯は何にしようかな。","那么，今晚的晚饭吃什么好呢？"
"せいで","せいで","表示因某个原因导致了不好的结果，并带有些许责备的语气，意为“都怪...”。","名詞＋の/動詞の普通形＋せいで","あなたのせいで、バスにのりおくれた。","あなたのせいで、バスに乗り遅れた。","都怪你，我没赶上公交车。","ねぼうしたせいで、しけんにちこくした。","寝坊したせいで、試験に遅刻した。","都怪我睡过头了，考试迟到了。"
"せいぜい","せいぜい","用于低估最大限度，意为“顶多、充其量”。","副詞として文中で使う","ここからえきまでせいぜいじゅっぷんでしょう。","ここから駅までせいぜい10分でしょう。","从这里到车站最多10分钟吧。","かれがかせぐのは、つきにせいぜい20まんえんぐらいだ。","彼が稼ぐのは、月にせいぜい20万円ぐらいだ。","他一个月充其量也就赚20万日元左右。"
"しばらく","しばらく","意为“短暂的时间”，但具体时长根据文脉可长可短。","副詞として文中で使う","しばらくおまちください。","しばらくお待ちください。","请稍等片刻。","かれとはしばらくあっていない。","彼とはしばらく会っていない。","我和他有一阵子没见了。"
"しかない","しかない","表示除此以外别无他法，是唯一的选择。","名詞/動詞の辞書形＋しかない","ここまで来たら、もうやるしかない。","ここまで来たら、もうやるしかない。","事到如今，只能放手一搏了。","バスがないから、あるいてかえるしかない。","バスがないから、歩いて帰るしかない。","因为没有公交车了，只能走着回去。"
"そのために","そのために","用于引出为达成前述目的而采取的手段。","接続詞として文頭で使う","りゅうがくしたい。そのために、まいにちべんきょうしている。","留学したい。そのために、毎日勉強している。","我想去留学。为此，我每天都在学习。","やせたい。そのために、食事をへらしている。","痩せたい。そのために、食事を減らしている。","我想减肥。为此，我在节食。"
"それとも","それとも","用于提出两个以上的选项，并询问对方从中选择。","接続詞として文と文の間に置く","コーヒーにしますか。それとも、こうちゃにしますか。","コーヒーにしますか。それとも、紅茶にしますか。","您要咖啡？还是红茶？","バスでいきますか。それとも、でんしゃでいきますか。","バスで行きますか。それとも、電車で行きますか。","是坐公交去？还是坐电车去？"
"すでに","すでに","表示在某个时间点动作已经完成，意为“已经...”。","副詞として文中で使う","わたしがついたとき、かいぎはすでにはじまっていた。","私が着いた時、会議はすでに始まっていた。","我到的时候，会议已经开始了。","そのけんについては、すでにごほうこくいたしました。","その件については、すでにご報告いたしました。","关于那件事，已经报告过了。"
"すなわち","すなわち","与「つまり」几乎相同，是更书面化的表达，用于将前述内容换一种方式更易懂地说明，意为“也就是、即”。","接続詞として使う","にほんのしゅと、すなわちとうきょうは、アジアのだいとしです。","日本の首都、すなわち東京は、アジアの大都市です。","日本的首都，也就是东京，是亚洲的大城市。","そふのあに、すなわちわたしのおおおじは、いしゃをしている。","祖父の兄、すなわち私の大叔父は、医者をしている。","我祖父的哥哥，也就是我的大伯公，是一名医生。"
"は）","","作为语法点不完整，需要上下文。","不明确的条目","","","","","",""
"たものだ","たものだ","用于怀念地回忆过去的习惯，“过去常常...”；也用于表示常识或感叹，“本就该...”或“真是...啊”。","動詞のタ形＋ものだ","こどものころ、よくこのかわでおよいだものだ。","子供の頃、よくこの川で泳いだものだ。","小时候，我常在这条河里游泳。","としをとれば、わすれっぽくなるものだ。","年を取れば、忘れっぽくなるものだ。","人上了年纪，本来就容易健忘嘛。"
"たとたん","たとたん","表示A发生后，紧接着发生了意料之外的B，意为“刚一...就...”。","動詞のタ形＋とたん（に）","まどをあけたとたん、つよいかぜがはいってきた。","窓を開けたとたん、強い風が入ってきた。","刚一开窗，就刮进了强风。","でんわをきったとたんに、またなりだした。","電話を切ったとたんに、また鳴り出した。","刚一挂断电话，马上又响了起来。"
"たびに","たびに","表示某事发生时，必然会伴随另一件事发生，意为“每当...就...”。","名詞＋の/動詞の辞書形＋たびに","このうたをきくたびに、こきょうをおもいだす。","この歌を聞くたびに、故郷を思い出す。","每当听到这首歌，我就会想起故乡。","りょこうのたびに、おみやげをかってきてくれる。","旅行のたびに、お土産を買ってきてくれる。","每次旅行都会给我买土特产回来。"
"ために","ために","有两个意思：“目的”和“原因”。表“目的”时，后接意志性动词；表“原因”时，多导致不好的结果。","名詞＋の/動詞の辞書形＋ために（目的）；普通形＋ために（原因）","けんこうのために、まいにちうんどうしている。","健康のために、毎日運動している。","为了健康，每天都在运动。","おおあめのために、でんしゃがおくれた。","大雨のために、電車が遅れた。","因为大雨，电车晚点了。"
"確かに","たしかに","用于肯定地承认某个信息或观点是事实，意为“确实...”。也常用于先承认一部分再提出反论的场合。","副詞として文頭や文中で使う","たしかに、あなたのいうとおりです。","確かに、あなたの言うとおりです。","确实如你所说。","かれはたしかにゆうしゅうだが、すこしきょうちょうせいにかける。","彼は確かに優秀だが、少し協調性に欠ける。","他确实很优秀，但稍微有点缺乏协调性。"
"たて","たて","表示动作刚刚结束，还很新鲜的状态，意为“刚...的”。","動詞のマス形＋たて","やきたてのパンはおいしい。","焼きたてのパンは美味しい。","刚出炉的面包很好吃。","あのペンキぬりたてだから、さわらないで。","あのペンキ塗りたてだから、触らないで。","那个油漆是刚刷的，不要碰。"
"たとえ～ても","たとえ～ても","用于假设一个极端或不易发生的情况，并强调即使如此结果也不会改变。","たとえ＋動詞のて形/い形容詞の「くて」形/な形容詞の「で」形＋も","たとえあめがふっても、しあいはつづけられる。","たとえ雨が降っても、試合は続けられる。","即使下雨，比赛也会继续。","たとえだれにはんたいされても、わたしはけっしんをかえない。","たとえ誰に反対されても、私は決心を変えない。","就算遭到所有人的反对，我也不会改变决心。"
"例えば","たとえば","用于引出具体的例子。","副詞として文頭で使う","にほんりょうりにはいろいろあります。たとえば、すし、てんぷらなどです。","日本料理には色々あります。例えば、寿司、天ぷらなどです。","日本料理有很多种。例如，寿司、天妇罗等等。","このどうぶつえんでは、たとえばパンダやコアラなどがみられます。","この動物園では、例えばパンダやコアラなどが見られます。","在这个动物园里，可以看到例如熊猫、考拉等动物。"
"たって","たって","是「～ても」的口语化表达，表示假定或逆接。","動詞のタ形/い形容詞の「くた」形/な形容詞・名詞の「だっ」形＋て","いまからいそいだってた、まにあわないよ。","今から急いだって、間に合わないよ。","就算现在赶过去，也来不及了哦。","どんなにいやだったって、じぶんのしごとはやらなきゃ。","どんなに嫌だったって、自分の仕事はやらなきゃ。","就算再怎么讨厌，自己的工作也必须做。"
"てばかりいる","てばかりいる","是「～ばかりでいる」的口语形式，表示对某行为频繁发生的责备或无奈，意为“光是...、净是...”。","動詞のて形＋ばかりいる","こどもがテレビをみてばかりいる。","子供がテレビを見てばかりいる。","孩子净是看电视。","なつやすみは、あそんでばかりいた。","夏休みは、遊んでばかりいた。","暑假里光玩了。"
"てごらん","てごらん","是「～てみなさい」的柔和版，由长辈对晚辈使用，温柔地催促对方尝试某事。","動詞のて形＋ごらん","わからないなら、せんせいにきいてごらん。","分からないなら、先生に聞いてごらん。","如果不明白，去问问老师看。","ほら、あそこにきれいなとりがいるよ。みてごらん。","ほら、あそこに綺麗な鳥がいるよ。見てごらん。","快看，那里有只好漂亮的鸟。你看看。"
"てはじめて","てはじめて","表示在经历了A之后，才初次领悟到之前不明白的B，指新认识的获得。","動詞のて形＋はじめて","にほんにきてはじめて、ぶんかのちがいをじっかんした。","日本に来てはじめて、文化の違いを実感した。","来了日本之后，才初次实际感受到了文化的差异。","びょうきになってはじめて、けんこうのありがたみがわかった。","病気になってはじめて、健康のありがたみが分かった。","生病之后，才初次体会到健康的可贵。"
"てからでないと","てからでないと","表示A是B的前提条件，意为“如果不先做A，就不能做B”，后面常接否定句。","動詞のて形＋からでないと/からでなければ","しゅくだいをしてからでないと、あそびにいけません。","宿題をしてからでないと、遊びに行けません。","不先做完作业，就不能出去玩。","おかあさんにそうだんしてからでないと、ひとりで決められない。","お母さんに相談してからでないと、一人で決められない。","不先和妈妈商量，我一个人决定不了。"
"て済む","てすむ","表示“只...就解决了”，指事情不会发展得更麻烦。其否定形式也很常用。","動詞のて形/名詞＋で＋済む","軽いけがだったので、ちゅうしゃをうってすんだ。","軽い怪我だったので、注射を打って済んだ。","因为只是轻伤，打一针就解决了。","あやまことですむなら、けいさつはいらない。","謝ることで済むなら、警察はいらない。","如果道个歉就能了事，那就不需要警察了。"
"てはいけないから","","作为固定语法点不常用。","","","","","","",""
"ている場合じゃない","ているばあいじゃない","表示“没有...的状况或余地”，用于否定悠闲的行为，并指出有更紧急的事要做。","動詞のている形＋場合じゃない/ではない","のんびりテレビをみているばあいじゃない。はやくしゅくだいをしなさい。","のんびりテレビを見ている場合じゃない。早く宿題をしなさい。","现在不是悠闲看电视的时候。快去做作业。","じょうだんをいっているばあいじゃないよ。しんけんにかんがえて。","冗談を言っている場合じゃないよ。真剣に考えて。","现在不是开玩笑的时候，请认真考虑。"
"的","てき","接在名词后，构成ナ形容词，表示“...那样的性质”或“关于...的”。","名詞＋的","かれはひじょうにろんりてきなひとだ。","彼は非常に論理的な人だ。","他是个非常有逻辑的人。","こくさいてきなもんだいについて話し合った。","国際的な問題について話し合った。","就国际性问题进行了商谈。"
"ても構わない","てもかまわない","与「～てもいいです」意思几乎相同，但更侧重于主动给予许可，带有“我不介意，请便”的感觉。","動詞のて形/い形容詞の「くて」形/な形容詞の「で」形＋も構わない","ここにすわってもかまいませんか。","ここに座っても構いませんか。","我坐这里也没关系吗？","あなたがよければ、わたしはいつでもかまいません。","あなたよければ、私はいつでも構いません。","如果你方便的话，我随时都可以。"
"と言えば","といえば","接住对方谈话中出现的词语，由此联想到相关话题并提出。","名詞/普通形＋と言えば","「きのう、やまださんにあいましたよ。」「やまださんといえば、こんどけっこんするそうですね。」","「昨日、山田さんに会いましたよ。」「山田さんと言えば、今度結婚するそうですね。」","“昨天我见到山田了。”“说起山田，听说他下个月要结婚了呢。”","にほんりょうりといえば、やはりすしですね。","日本料理と言えば、やはり寿司ですね。","说起日本料理，那还得是寿司啊。"
"たらいい","たらいい","与「～ばいい」几乎相同，是向对方提建议时的柔和表达。","動詞のタラ形＋いい","つかれたら、すこしやすんだらいいですよ。","疲れたら、少し休んだらいいですよ。","如果累了，休息一下比较好哦。","どうしたらいいかわからない。","どうしたらいいか分からない。","我不知道该怎么办才好。"
"といっても","といっても","用于陈述一个与前言给人的普遍印象不符的事实，意为“虽说...但实际上...”。","名詞/普通形＋といっても","りょうりができるといっても、かんたんなものだけです。","料理ができるといっても、簡単なものだけです。","虽说会做饭，但也只会做些简单的。","なつだといっても、ここはすずしいですね。","夏だといっても、ここは涼しいですね。","虽说是夏天，但这里还挺凉快的。"
"ということだ","ということだ","表示传闻，比「～そうだ」更书面化；也用于总结或得出结论，意为“也就是说...”。","普通形＋ということだ","てんきよほうによると、あしたはあめだということです。","天気予報によると、明日は雨だということです。","据天气预报说，明天有雨。","ごうかくおめでとう。つまり、らいねんからとうきょうでくらすということですね。","合格おめでとう。つまり、来年から東京で暮らすということですね。","恭喜你考上了。也就是说，明年开始就要在东京生活了对吧。"
"というのは","というのは","用于解释词语的定义或意思，以“AというのはBだ”的形式表示“A就是B的意思”。","名詞＋というのは","「クールビズ」というのは、なつにすずしいふくそうでではたらくことです。","「クールビズ」というのは、夏に涼しい服装で働くことです。","所谓的“Cool Biz”是指夏天穿着凉爽的服装工作。","かれがこないというのは、どういうことですか。","彼が来ないというのは、どういうことですか。","他说不来，这是什么意思？"
"というと","というと","与「と言えば」相似，但更侧重于由对方的话联想出最具代表性的事物；也用于确认对方话语的意思。","名詞/普通形＋というと","なつスポーツというと、なにをおもいうかべますか。","夏のスポーツと言うと、何を思い浮かべますか。","一说到夏天的运动，你会想起什么？","「せんせいがよんでますよ。」「せんせいというと、たなか先生のことですか。」","「先生が呼んでますよ。」「先生と言うと、田中先生のことですか。」","“老师在叫你哦。”“你说的老师，是指田中老师吗？”"

"というより","というより","用于订正，表示“与其说是A，不如说是B更恰当”。","名詞/普通形＋というより","かのじょはかわいいというより、きれいなタイプだ。","彼女はかわいいというより、きれいなタイプだ。","与其说她可爱，不如说是漂亮那种类型。","このへやはあついというより、むしあつい。","この部屋は暑いというより、蒸し暑い。","这个房间与其说是热，不如说是闷热。"
"と共に","とともに","意为“和...一起”；也是书面化表达，表示A变化的同时B也随之变化。","名詞/動詞の辞書形＋と共に","かぞくとともにりょこうしたい。","家族と共に旅行したい。","想和家人一起去旅行。","けいざいのはってんとともに、かんきょうもんだいがしんこくになった。","経済の発展と共に、環境問題が深刻になった。","伴随着经济的发展，环境问题也变得严峻。"
"途中に","とちゅうに","表示在从一个地方移动到另一个地方的中间点。","名詞＋の/動詞の辞書形＋途中に","がっこうへくるとちゅうで、じこをみました。","学校へ来る途中で、事故を見ました。","在来学校的路上看到了事故。","かいぎのとちゅうで、たいせきしてしまった。","会議の途中で、退席してしまった。","在会议中途退席了。"
"ところで","ところで","用于转换话题，引出全新的内容。","接続詞として文頭で使う","きょうはいいおてんきですね。ところで、やまださんはどうしていますか。","今日はいいお天気ですね。ところで、山田さんはどうしていますか。","今天天气真好啊。话说，山田他怎么样了？","いじょうでほうこくはおわります。ところで、ひとつおしらせがあります。","以上で報告は終わります。ところで、一つお知らせがあります。","报告到此结束。话说，我有一个通知。"
"ところが","ところが","与「しかし」相似，但用于引出与预想或期待完全相反的意外事实或结果。","接続詞として文頭で使う","かれはすぐくるはずだった。ところが、まだこない。","彼はすぐ来るはずだった。ところが、まだ来ない。","他本该马上就来的。然而，现在还没来。","しけんはかんたんだとおもっていた。ところが、とてもむずかしかった。","試験は簡単だと思っていた。ところが、とても難しかった。","我本以为考试很简单。然而，却非常难。"
"とおりに","とおりに","表示完全按照基准行动，意为“和...一样”。","名詞＋の/動詞の辞書形・タ形＋とおりに","せんせいがいったとおりに、べんきょうしました。","先生が言ったとおりに、勉強しました。","我按照老师说的去学习了。","せつめいしょのとおりに、くみたててください。","説明書のとおりに、組み立ててください。","请按照说明书进行组装。"
"通す","とおす","表示带着意志持续到底，意为“坚持做完...”，含有不畏困难的语气。","動詞のマス形＋通す","いちどきめたことは、さいごまでやりとおすべきだ。","一度決めたことは、最後までやり通すべきだ。","一旦决定的事情，就应该坚持做到最后。","かれはどんなこんなんがあっても、じぶんのいけんをつらぬきとおした。","彼はどんな困難があっても、自分の意見を貫き通した。","无论有什么困难，他都将自己的意见贯彻到底。"
"として","として","表示资格、立场或角色，意为“作为...”。","名詞＋として","わたしはりゅうがくせいとしてにほんにきました。","私は留学生として日本に来ました。","我是作为留学生来到日本的。","かれはせんせいとして、とてもそんけいされている。","彼は先生として、とても尊敬されている。","作为一名老师，他非常受人尊敬。"
"とても～ない","とても～ない","用于强烈地表示从能力或状况来看不可能做到，意为“怎么也（不）...”。","とても＋動詞の可能形の否定","こんなにたくさんのりょうりは、とてもたべきれません。","こんなにたくさんの料理は、とても食べきれません。","这么多的菜，我怎么也吃不完。","いちにちでこのほんをよみおわるなんて、とてもむりだ。","一日でこの本を読み終わるなんて、とても無理だ。","一天之内读完这本书，无论如何也是不可能的。"
"とは限らない","とはかぎらない","用于指出普遍看法中的例外，意为“未必...、不一定...”。","普通形＋とは限らない","おかねもちがかならずしもこうふくだとはかぎらない。","お金持ちが必ずしも幸福だとは限らない。","有钱人未必就幸福。","にほんじんだからといって、だれもがすしがすきだとはかぎらない。","日本人だからといって、誰もが寿司が好きだとは限らない。","不能因为是日本人，就断定所有人都喜欢寿司。"
"つい","つい","表示无意识地、并非本意地做了某事，意为“忍不住就...”。","副詞として文中で使う","ダイエットちゅうなのに、ついケーキをたべてしまった。","ダイエット中なのに、ついケーキを食べてしまった。","明明在减肥，却忍不住吃了蛋糕。","かれのじょうだんがおかしくて、ついふきだしてしまった。","彼の冗談が可笑しくて、つい噴き出してしまった。","他的玩笑太好笑了，我忍不住笑了出来。"
"ついに","ついに","与「やっと」「とうとう」相似，表示经过长时间或努力后最终实现了某个结果，带有感慨或达成感。","副詞として文中で使う","ながねんのどりょくがみのり、ついにゆめがかなった。","長年の努力が実り、ついに夢が叶った。","长年的努力有了结果，梦想终于实现了。","なんどもこしょうしたパソコンが、ついにつかわれなくなった。","何度も故障したパソコンが、ついに使われなくなった。","故障了好几次的电脑，终于不能用了。"
"ついでに","ついでに","表示利用做A的机会，顺便也做了B。","名詞＋の/動詞の辞書形・タ形＋ついでに","ぎんこうへいくついでに、このてがみをだしてくれませんか。","銀行へ行くついでに、この手紙を出してくれませんか。","你去银行的时候，能顺便帮我把这封信寄了吗？","さんぽのついでに、こんびにでパンをかった。","散歩のついでに、コンビニでパンを買った。","散步的时候，顺便在便利店买了面包。"
"つまり","つまり","与「すなわち」几乎相同，用于总结或换一种方式解释前文内容，意为“总之、也就是”。","接続詞として文頭で使う","ちちのあに、つまりわたしのおじはいしゃです。","父の兄、つまり私の伯父は医者です。","我父亲的哥哥，也就是我的伯父是医生。","かれはいかないといった。つまり、ことわったのだ。","彼は行かないと言った。つまり、断ったのだ。","他说了不去。也就是说，他拒绝了。"
"つもりだった","つもりだった","表示过去的意图或计划未能实现，意为“本打算...”。","動詞の辞書形/ない形＋つもりだった","きのうはえいがにいくつもりだったが、いそがしくていけなかった。","昨日は映画に行くつもりだったが、忙しくて行けなかった。","本来昨天打算去看电影的，但是太忙了没能去成。","かれにはひみつにするつもりだったのに、うっかりはなしてしまった。","彼には秘密にするつもりだったのに、うっかり話してしまった。","本来打算对他保密的，却不小心说出去了。"
"つもりで","つもりで","表示虽然事实并非如此，但抱着“就当作是...”的心情去做某事。","動詞の辞書形/タ形＋つもりで","しんだつもりでがんばります。","死んだつもりで頑張ります。","我会抱着必死的决心去努力的。","だまされたつもりで、もういちどかれをしんじてみよう。","騙されたつもりで、もう一度彼を信じてみよう。","就当是被骗了，我再相信他一次看看。"
"うちに","うちに","用法1:表示在某种状态改变前积极地做某事（趁着...）；用法2:表示在某种状态持续期间，无意中发生了某种变化。","名詞＋の/動詞の辞書形・ている形・ない形/い形容詞/な形容詞＋うちに","あかるいうちにかえりましょう。","明るいうちに帰りましょう。","趁着天亮回家吧。（用法１）","おんがくをきいているうちに、ねてしまった。","音楽を聴いているうちに、寝てしまった。","听着音乐，不知不觉就睡着了。（用法２）"
"上で","うえで","表示先做A，然后在A的基础上再做B，A是B的准备阶段。","名詞＋の/動詞のタ形＋上で","かぞくとそうだんしたうえで、おへんじします。","家族と相談した上で、お返事します。","和家人商量之后，再给您答复。","くわしいことをしらべたうえで、ほうこくします。","詳しいことを調べた上で、報告します。","在调查清楚详情之后进行报告。"
"上に","うえに","用于在A的基础上，再叠加一个同倾向的（好或坏的）B，意为“而且、再加上”。","名詞修飾形（普通形）＋上に","このりょうりはおいしいうえに、ねだんもやすい。","この料理は美味しい上に、値段も安い。","这道菜不仅好吃，而且价格也便宜。","きのうはあたまがいたいいうえに、ねつもでた。","昨日は頭が痛い上に、熱も出た。","昨天不仅头疼，还发烧了。"
"は別として","はべつとして","用于将某个事项作为例外排除在讨论之外，意为“...暂且不论”。","名詞＋は別として","じょうだんはべつとして、まじめにはなしましょう。","冗談は別として、真面目に話しましょう。","玩笑暂且不谈，我们认真谈谈吧。","デザインはべつとして、きのうせいはこちらのほうがいい。","デザインは別として、機能性はこちらのほうがいい。","设计暂且不论，功能性方面这个更好。"
"はもちろん","はもちろん","以“AはもちろんBも”的形式，表示A是理所当然的，甚至B也是如此，意为“...自不待言”。","名詞＋はもちろん","かれはえいごはもちろん、フランスごもはなせる。","彼は英語はもちろん、フランス語も話せる。","他英语就不用说了，法语也会讲。","このレストランは、あじはもちろん、サービスもまんてんだ。","このレストランは、味はもちろん、サービスも満点だ。","这家餐厅味道自不必说，服务也是满分。"
"は～で有名","は～でゆうめい","用于说明某事物广为人知的原因，意为“以...而闻名”。","名詞＋は＋名詞＋で有名","きょうとはふるいおてらでゆうめいです。","京都は古いお寺で有名です。","京都以古老的寺庙而闻名。","このみせは、おいしいラーメンでゆうめいだ。","この店は、美味しいラーメンで有名だ。","这家店以美味的拉面而闻名。"
"わけだ","わけだ","表示因某个理由而理所当然地得出某个结论，带有恍然大悟的语气，意为“怪不得...、难怪...”。","普通形＋わけだ","あついわけだ。きおんが35どもある。","暑いわけだ。気温が35度もある。","怪不得这么热，气温有35度呢。","5ひきのかしを3にんでわけると、2ほんあまるわけだ。","5本の菓子を3人で分けると、2本余るわけだ。","5根点心分给3个人，当然会剩下2根。"
"わけではない","わけではない","表示强烈的局部否定，意为“并非...、不是说...”，用于否定普遍看法，指出有例外。","普通形＋わけではない","にほんじんがみんななっとうがすきなわけではない。","日本人が皆、納豆が好きなわけではない。","并非所有日本人都喜欢纳豆。","いつでもでんわにでられるわけではありません。","いつでも電話に出られるわけではありません。","我并非随时都能接电话。"
"わけがない","わけがない","表示从常识上判断绝不可能发生，是强烈的否定，意为“不可能...”。比「はずがない」更情绪化。","普通形＋わけがない","あんなにれんしゅうしたんだから、まけるわけがない。","あんなに練習したんだから、負けるわけがない。","练习了那么多，不可能输的。","こどもにそんなむずかしいもんだいがわかるわけがない。","子供にそんな難しい問題が分かるわけがない。","小孩子怎么可能懂那么难的问题。"
"わけにはいかない","わけにはいかない","表示因社会常理、心理或客观状况而“不能做（想做的事）”或“必须做（不想做的事）”。","動詞の辞書形＋わけにはいかない / 動詞のナイ形＋わけにはいかない","あしたしけんがあるので、きょうはあそんでいるわけにはいかない。","明日試験があるので、今日は遊んでいるわけにはいかない。","因为明天有考试，所以今天不能玩。","ともだちになきながらたのまれたら、ことわるわけにはいかない。","友達に泣きながら頼まれたら、断るわけにはいかない。","被朋友哭着请求，实在没法拒绝。"
