本質,ほんしつ,本质、实质,問題の本質を見極めることが重要だ。
呆れ返る,あきれかえる,大吃一惊、极度惊讶,彼の非常識な行動に呆れ返る。
持ち去る,もちさる,拿走、带走,誰かが財布を持ち去った。
洗い落とす,あらいおとす,洗掉、冲掉,汚れをきれいに洗い落とす。
叩き落とす,たたきおとす,击落、打落,空中の物体を叩き落とす。
吹き消す,ふきけす,吹灭,ローソクの火を吹き消す。
思い起こす,おもいおこす,想起、回忆,古いアルバムを見て過去を思い起こす。
突き崩す,つきくずす,推翻、突破,敵の陣地を突き崩す。
押し潰す,おしつぶす,压碎,空き缶を足で押し潰す。
射止める,いとめる,射中、得到（目标）,狙った役職を射止める。
追い散らす,おいちらす,驱散,群衆を追い散らす。
貸し出す,かしだす,出借,本を図書館から貸し出す。
掃き出す,はきだす,扫出去,部屋のゴミを掃き出す。
切り売り,きりうり,零售、零卖,生地を切り売りする。
添い寝,そいね,陪睡,子供に添い寝する。
叩き売り,たたきうり,贱卖、跳楼价出售,商品を叩き売りする。
立ち飲み,たちのみ,站着喝酒,カウンターで立ち飲みする。
立ち食い,たちぐい,站着吃,立ち食いそばを食べる。
盗み聞き,ぬすみぎき,偷听,会話を盗み聞きする。
盗み撮り,ぬすみどり,偷拍,無断で写真を盗み撮りする。
走り書き,はしりがき,草草地写,急いでメモを走り書きした。
拾い読み,ひろいよみ,挑着读,本を拾い読みする。
揉み洗い,もみあらい,搓洗,汚れのひどい部分を揉み洗いする。
回し飲み,まわしのみ,轮流喝,グラスを回し飲みする。
持ち逃げ,もちにげ,卷款潜逃,現金を全部持ち逃げした。
もらい泣き,もらいなき,被感动得哭,友人の話にもらい泣きした。
焼き増し,やきまし,加印、加洗,写真の焼き増しを頼む。
飛び越す,とびこす,跳过、越过,柵を飛び越す。
吸い取る,すいとる,吸取、吸干,スポンジが水を吸い取る。
沸き立つ,わきたつ,沸腾、群情激昂,会場が歓声で沸き立った。
恋い慕う,こいしたう,恋慕、爱慕,遠い人を恋い慕う。
忌み嫌う,いみきらう,厌恶、憎恨,彼は嘘を忌み嫌う。
媚びへつらう,こびへつらう,谄媚、巴结,上司に媚びへつらう。
思い描く,おもいえがく,描绘、想象,未来の姿を思い描く。
思い煩う,おもいわずらう,烦恼、忧虑,些細なことで思い煩う。
あわてふためく,あわてふためく,惊慌失措,予期せぬ事態にあわてふためく。
泣きはらす,なきはらす,哭肿（眼睛）,目を泣きはらした。
勝ち抜く,かちぬく,坚持取胜,厳しい予選を勝ち抜く。
読みかける,よみかける,开始读、正要读,本を読みかけたところで電話が鳴った。
読み続ける,よみつづける,继续读,何時間も本を読み続けた。
読み終える,よみおえる,读完,レポートをようやく読み終えた。
読みきる,よみきる,读完、看透,彼の考えを読みきる。
読み通す,よみとおす,读到底、读完,専門書を一冊読み通す。
読み抜く,よみぬく,读完、坚持读完,最後まで集中して読み抜く。
読み始める,よみはじめる,开始读,新しい雑誌を読み始める。
読み出す,よみだす,开始读（出声）,本を開いて読み出す。
読み慣れる,よみなれる,读惯,難しい文章も読み慣れると楽になる。
読み飽きる,よみあきる,读腻,同じ本を何度も読んで読み飽きた。
読み損なう,よみそこなう,读错,漢字の読みを読み損なった。
読み違える,よみちがえる,读错、看错,彼の名前を読み違えた。
読み過ごす,よみすごす,忽略、没读到,重要な注意書きを読み過ごした。
読みそびれる,よみそびれる,错过阅读,忙しくて新聞を読みそびれた。
読み残す,よみのこす,没读完,雑誌の続きを読み残した。
読み捨てる,よみすてる,读完就扔,チラシを読み捨てた。
読み込む,よみこむ,仔细阅读,契約書を詳細に読み込む。
書き出す,かきだす,写下、抄录,必要な項目をメモに書き出す。
書き始める,かきはじめる,开始写,原稿を書き始める。
書き続ける,かきつづける,继续写,夜通し手紙を書き続けた。
書き終える,かきおえる,写完,宿題を書き終えた。
書き切る,かききる,写完、写尽,自分の思いを書き切った。
書き尽くす,かきつくす,写尽,その美しさを書き尽くすことはできない。
書き通す,かきとおす,写到底、写完,論文を最後まで書き通す。
書き抜く,かきぬく,摘录,参考資料から必要な部分を書き抜く。
書き損じる,かきそんじる,写错,手紙を書き損じた。
書き残す,かきのこす,留下（文字）,遺言を書き残す。
書き忘れる,かきわすれる,忘记写,住所を書き忘れた。
書き換える,かきかえる,改写,パスワードを書き換える。
書き加える,かきくわえる,添写,文章に注釈を書き加える。
書き込む,かきこむ,填写、写进,ノートに情報を書き込む。

寧ろ,むしろ,不如说、倒不如,彼は学者というより、むしろ哲学者だ。
敢えて,あえて,硬要、特意、斗胆,敢えて困難な道を選ぶ。
到底,とうてい,无论如何（后接否定）,この難題は到底解決できそうにない。
断固,だんこ,断然、坚决地,断固として反対の立場を取る。
即ち,すなわち,换言之、也就是说,太陽、即ち恒星である。
殊に,ことに,尤其、特别,その中でも殊にこの作品が優れている。
一概に,いちがいに,一概而论（后接否定）,全てを彼一概に責めることはできない。
如何に,いかに,多么、如何（表程度或方式）,如何に努力しても報われないことがある。
悉く,ことごとく,全部、所有,彼の意見は悉く退けられた。
予め,あらかじめ,事先、预先,予め必要な準備をしておく。
但し,ただし,但是、不过（补充说明或例外）,契約は成立した、但し条件がある。
従って,したがって,因此、所以（论理性强）,論理的に考えて、従って、結論はAである。
にもかかわらず,にもかかわらず,尽管如此、虽然...但是,悪天候にもかかわらず、多くの人が集まった。
ひいては,ひいては,进而、甚至,個人の成功は、ひいては組織全体の利益となる。
翻って,ひるがえって,反过来说、换个角度来看,現状は厳しい。翻って見ると、新しいチャンスもある。
とすれば,とすれば,如果那样的话、假如,彼が反対したとすれば、計画は頓挫するだろう。
然し,しかし,但是（转折）,彼は優秀だ、然し協調性に欠ける。
故に,ゆえに,所以、因此（文语、论理性强）,努力は報われる。故に、諦めてはいけない。
果たして,はたして,果然、到底（疑问或感叹）,果たして彼の言う通りになるだろうか。
兎に角,とにかく,总之、姑且不论,兎に角、まずは試してみよう。
或いは,あるいは,或者、也许,それは真実か、或いは単なる噂か。
並びに,ならびに,以及、和（并列事物）,資料並びに機器を準備する。
及び,および,以及、和（并列事物比「並びに」范围广）,鉛筆及び消しゴム。
就中,なかんずく,其中、尤其,多くの才能ある人の中で、就中彼が目立っていた。
畢竟,ひっきょう,毕竟、终归,畢竟、努力次第というわけだ。
抑々,そもそも,原本、本来,そもそもこの計画は誰が考えたのか。
況して,まして,何况、更不用说,大人でも難しい。況して子供には無理だ。
併せて,あわせて,同时、一起,資料を併せてご参照ください。
所謂,いわゆる,所谓,所謂「勝ち組」と呼ばれる人々。
頗る,すこぶる,非常、很,彼の評判は頗る良い。
一向に,いっこうに,完全（后接否定）,私の体調は一向に良くならない。
極めて,きわめて,极其、非常,これは極めて重要な問題だ。
専ら,もっぱら,专门、主要,休日は専ら読書に費やしている。
大凡,おおよそ,大致、凡是,大凡の予測は可能だ。
総じて,そうじて,总的说来,彼の作品は総じて評価が高い。
換言すれば,かんげんすれば,换言之,換言すれば、失敗を恐れてはいけないということだ。
要するに,ようするに,总而言之,要するに、彼は来るということだ。
詰まり,つまり,也就是说、归根结底,彼は来ない。つまり、計画は延期だ。
無論,むろん,不用说、当然,彼の能力は無論、疑う余地がない。
無論のこと,むろんのこと,当然、更不用说,健康はもちろんのこと、精神面も大事だ。
果たせるかな,はたせるかな,果然不出所料,果たせるかな、彼は約束通りに来た。
図らずも,はからずも,意想不到地,図らずも、彼と再会した。
案の定,あんのじょう,果然、不出所料,案の定、予選で敗退した。
幸いにして,さいわいにして,幸好,幸いにして、怪我はなかった。
幸いにも,さいわいにも,幸好,幸いにも、天候に恵まれた。
あいにく,あいにく,不巧、可惜,あいにくですが、社長は外出中です。
あたかも,あたかも,仿佛、宛如,あたかも奇跡のようにその出来事は起こった。
さもなければ,さもなければ,否则、不然的话,急がなければならない、さもなければ間に合わない。
ひたすら,ひたすら,一味地、专心致志地,彼はひたすら前進あるのみだ。
専念,せんねん,专心、专念,研究に専念する。
もはや,もはや,已经、不再（后接否定）,もはや手遅れだ。
依然として,いぜんとして,依然如故,問題は依然として未解決だ。
案外,あんがい,出乎意料,彼は案外真面目な人間だ。
かえって,かえって,反而、反倒,急いだらかえって時間がかかった。
あえて言えば,あえていえば,硬要说的话,あえて言えば、彼の欠点は協調性のなさだ。
はたまた,はたまた,或者、还是,成功か、はたまた失敗か。
さながら,さながら,宛如、仿佛,その景色はさながら絵画のようだ。
まさしく,まさしく,正是、的确,まさしく私が探していたものだ。
まさか,まさか,难道、怎会（表难以置信）,まさか彼が犯人だとは。
あながち,あながち,未必、不一定（后接否定）,彼の意見もあながち間違いではない。
もとより,もとより,原本、本来,彼の才能はもとより誰もが認めている。
とどのつまり,とどのつまり,归根结底、最终,とどのつまり、彼らは和解した。
いざ知らず,いざしらず,姑且不论、暂且不提,他人のことはいざ知らず、私は行かない。
いざとなれば,いざとなれば,万一、一旦有事,いざとなれば、私が責任を取る。
いまだに,いまだに,仍然、尚未,彼はいまだに返事をくれない。
終始,しゅうし,始终,彼は会議で終始沈黙していた。
終ぞ,ついぞ,从未、一直（后接否定）,私は終ぞ彼に会うことはなかった。
一通り,ひととおり,大致、粗略地,資料に一通り目を通す。
およそ,およそ,大致、凡是,およそ想像できる範囲のことだ。
概ね,おおむね,大致、大体上,計画は概ね順調に進んでいる。
軒並み,のきなみ,家家、一律地,新製品は軒並み高評価だ。
ひところ,ひところ,曾几何时,ひところ流行した歌。
往々にして,おうおうにして,往往、常常,このようなミスは往々にして起こる。
いよいよ,いよいよ,越发、终于、关键时刻,いよいよ決戦の日が来た。
まもなく,まもなく,马上、不久,まもなく開場いたします。
到底,とうてい,终究、无论如何（后接否定）,あの時、彼には到底及ばなかった。
何しろ,なにしろ,毕竟、总之,何しろ初心者なもので、ご容赦ください。
何故なら,なぜなら,因为（解释理由）,成功した。何故なら、努力したからだ。
果たせるかな,はたせるかな,果然不出所料,果たせるかな、その予言は的中した。
案に相違なく,あんにそういなく,果然、不出所料,案に相違なく、彼が優勝した。
あながち,あながち,未必、不一定（后接否定）,その説もあながち間違いではない。
いかにも,いかにも,确实、果然、非常,いかにも彼らしい発言だ。
いささか,いささか,些许、稍微,いささか疲れた。
いっそ,いっそ,索性、干脆,いっそ全てを辞めてしまおうか。
いやしくも,いやしくも,既然、无论如何（后接“～たら”等）,いやしくもプロである以上、結果を出すべきだ。
おもむろに,おもむろに,徐徐地、慢慢地,彼はおもむろに立ち上がった。
かたがた,かたがた,顺便、同时（连接目的）,お礼かたがた訪問する。
かろうじて,かろうじて,好不容易、勉强,かろうじて間に合った。
さも,さも,仿佛、果然（强调）,さも自分がやったかのように話す。
さながら,さながら,宛如、仿佛,その光景はさながら地獄絵図だ。
然るに,しかるに,然而、但是（文语的强烈转折）,彼は優秀だ。然るに、結果は出せない。
すべからく,すべからく,理应、必须（文语）,公務員はすべからく国民のために尽くすべきだ。
たまたま,たまたま,偶然、碰巧,たまたま旧友に会った。
ついでながら,ついでながら,顺便说一下,ついでながら、この件についても話しておきたい。
てっきり,てっきり,准是、一定（误以为）,てっきり彼は来ないと思っていた。
とうてい,とうてい,无论如何（后接否定）,彼の才能にはとうてい及ばない。
とかく,とかく,总是、动不动就,人はとかく楽な道を選びたがる。
なかんずく,なかんずく,其中、尤其,果物の中でなかんずく桃が好きだ。
何卒,なにとぞ,请一定、务必,何卒よろしくお願い申し上げます。
何分,なにぶん,毕竟、总之,何分経験不足で、ご容赦ください。
否応なしに,いやおうなしに,不容分说、无论如何,否応なしに決定に従わされた。
ひとえに,ひとえに,完全、一味地,成功はひとえに彼の努力の賜物だ。
ひょっとしたら,ひょっとしたら,或许、说不定,ひょっとしたら雪が降るかもしれない。
まるっきり,まるっきり,完全（后接否定）,彼の話はまるっきり信用できない。
やがて,やがて,不久、马上,やがて春がやってくる。
ゆめゆめ,ゆめゆめ,千万（后接否定、命令）,ゆめゆめ油断することなかれ。
よしんば,よしんば,即使、纵使,よしんば失敗しても、やり直せばいい。
よりにもよって,よりにもよって,偏偏、竟（指责）,よりにもよって、今日に限って遅刻した。
言わずもがな,いわずもがな,不说也罢、不言而喻,言わずもがなの結果となった。
折しも,おりしも,恰巧、正当其时,折しも、桜が満開の時期だった。
かえって,かえって,反而、反倒,親切心がかえって裏目に出た。
おのずから,おのずから,自然而然地,努力すればおのずから道は開ける。
おもむろに,おもむろに,徐徐地、慢慢地,彼はおもむろに立ち上がった。
さながら,さながら,宛如、仿佛,その光景はさながら夢のようだ。
さしずめ,さしずめ,暂且、目前来说,さしずめ、これで十分だろう。
すかさず,すかさず,毫不迟疑、立刻,質問に対し、すかさず答える。
すべからく,すべからく,理应、必须（文语）,公人はすべからく清廉であるべきだ。
すなわち,すなわち,换言之、也就是说,AはB、すなわちCである。
さしあたり,さしあたり,眼前、目前,さしあたり、問題はない。
てっきり,てっきり,准是、一定（误以为）,てっきり彼が犯人だと思っていた。
とにかく,とにかく,总之、姑且不论,とにかく、やってみよう。
ともかく,ともかく,姑且不论、总之,ともかく、結論を出そう。
なかんずく,なかんずく,其中、尤其,皆優秀だが、なかんずく彼が抜きん出ている。
にわかに,にわかに,突然、立刻,空がにわかに暗くなった。
ふと,ふと,忽然、无意中,ふと昔の思い出がよみがえる。
まさしく,まさしく,正是、的确,まさしくその通りだ。
まるで,まるで,简直、好像,彼はまるで子供のようだ。
もはや,もはや,已经、不再（后接否定）,もはや後戻りはできない。
もとより,もとより,原本、本来,彼の能力はもとより評価が高い。
やがて,やがて,不久、马上,やがて夜が明ける。
やはり,やはり,果然、还是,やはり彼の言う通りだった。
ろくに,ろくに,好好地、充分地（后接否定）,昨夜はろくに眠れなかった。
一向に,いっこうに,完全（后接否定）,彼の病状は一向に改善しない。
一概に,いちがいに,一概而论（后接否定）,一概に善悪を判断するのは難しい。
一通り,ひととおり,大致、粗略地,資料に一通り目を通した。
一先ず,ひとまず,姑且、暂时,一先ずこれで終わりにしよう。
終ぞ,ついぞ,从未、一直（后接否定）,終ぞ彼は現れなかった。
先だって,せんだって,前几天、前不久,先だってはお世話になりました。
今更,いまさら,事到如今、现在才,今更後悔しても遅い。
極めて,きわめて,极其、非常,極めて重要な事実が判明した。
総じて,そうじて,总的说来,総じて、会議は成功だった。
概ね,おおむね,大致、大体上,彼の主張は概ね理解できる。
軒並み,のきなみ,家家、一律地,全商品が軒並み値上げされた。
ひところ,ひところ,曾几何时,ひところ彼は人気絶頂だった。
往々にして,おうおうにして,往往、常常,彼は往々にして約束を破る。
如何にも,いかにも,的确、果然、非常,如何にも難しそうな顔をしている。
否応なく,いやおうなく,不容分说、无论如何,否応なく決定に従う。
